,mx1,mx2,mx3,mx4,mx5,mx6,mx7,cp1,cp2,ce19,ce37,cu1,cu2,cu3,cu4,cu5,cu7,cu16,cu17,cu18,cu19,cu20,cu21,cu23,cu25,cu29,cu34,cu37,cu38,cu41,cu52,cu53,cu54,cu55,cu56,cu57,cu61,cu64,cu65,cu67,cu68,cu72,cu74,cu75,cu76,cu77,cu78,cu80,cu81,cu82,cu83,cu84,cu85
31794,13.0,1.0,11.0,6.0,2.0,3.0,7.0,31.0,2.0,14.0,8401.0,28.0,17.0,11.0,75310.0,67442.0,500.0,2.0,1.0,2.0,3.0,8.0,15.0,0.0,16.0,11.0,5.0,2.0,4.0,41.0,1.0,4.0,4.0,13.0,19.0,10.0,10.0,51.0,10.0,3.0,0.0,5.0,4500.0,64.0,64.0,0.0,103.0,84.0,13.0,84.0,16.0,68242.0,3590.0
4514,7.0,4.0,6.0,6.0,6.0,6.0,6.0,19.0,1.0,19.0,3000.0,7.0,4.0,3.0,10209.0,0.0,400.0,0.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,0.0,1.0,8.0,2.0,6.0,6.0,7.0,7.0,8.0,8.0,-1.0,8.0,2.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1331.0
21406,13.0,1.0,3.0,13.0,0.0,2.0,3.0,25.0,2.0,10.0,1606.0,30.0,25.0,5.0,81968.0,6221.0,780.0,16.0,0.0,1.0,4.0,5.0,9.0,0.0,24.0,6.0,5.0,0.0,1.0,57.0,1.0,3.0,5.0,7.0,8.0,8.0,8.0,-1.0,8.0,0.0,0.0,1.0,0.0,39.0,1.0,39.0,1.0,1.0,4.0,1.0,19.0,6221.0,1189.0
8146,13.0,6.0,11.0,8.0,9.0,9.0,9.0,34.0,1.0,30.0,2000.0,13.0,7.0,6.0,12476.0,12318.0,400.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,7.0,7.0,4.0,1.0,3.0,15.0,6.0,8.0,10.0,10.0,10.0,7.0,7.0,-1.0,14.0,3.0,2958.0,3.0,2000.0,39.0,25.0,39.0,49.0,11.0,6.0,11.0,15.0,3312.0,1032.0
12370,2.0,0.0,2.0,2.0,1.0,1.0,1.0,38.0,1.0,6.0,2000.0,2.0,0.0,2.0,6133.0,5801.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,327.0,327.0,-1.0,-1.0,1.0,0.0,1.0,0.0,13.0,13.0,0.0,13.0,6.0,0.0,6.0,11.0,799.0,166.0
1000,21.0,3.0,20.0,18.0,8.0,11.0,15.0,25.0,1.0,15.0,4000.0,36.0,29.0,7.0,63666.0,22009.0,300.0,2.0,2.0,9.0,13.0,20.0,27.0,0.0,27.0,25.0,5.0,1.0,3.0,18.0,3.0,12.0,15.0,23.0,33.0,18.0,18.0,299.0,18.0,3.0,9012.0,1.0,22009.0,20.0,13.0,20.0,13.0,13.0,6.0,13.0,18.0,4649.0,16627.0
27433,3.0,0.0,2.0,2.0,0.0,0.0,1.0,43.0,2.0,14.0,1071.0,36.0,32.0,4.0,17985.0,17985.0,500.0,29.0,0.0,0.0,0.0,1.0,3.0,0.0,32.0,28.0,3.0,0.0,2.0,160.0,0.0,0.0,0.0,2.0,3.0,131.0,131.0,-1.0,131.0,4.0,7600.0,4.0,0.0,24.0,24.0,1.0,46.0,68.0,1.0,68.0,131.0,17638.0,0.0
8184,12.0,3.0,7.0,7.0,3.0,3.0,4.0,30.0,1.0,3.0,1500.0,14.0,6.0,8.0,637893.0,143448.0,400.0,1.0,1.0,1.0,3.0,5.0,5.0,0.0,6.0,5.0,5.0,0.0,1.0,25.0,1.0,1.0,3.0,6.0,6.0,24.0,27.0,-1.0,27.0,2.0,21803.0,5.0,0.0,24.0,24.0,0.0,94.0,84.0,4.0,84.0,25.0,99995.0,2646.0
1272,10.0,2.0,9.0,7.0,2.0,6.0,6.0,53.0,2.0,10.0,1606.0,40.0,33.0,7.0,225568.0,14238.0,500.0,29.0,0.0,2.0,3.0,3.0,4.0,0.0,31.0,14.0,4.0,1.0,6.0,40.0,0.0,4.0,6.0,6.0,7.0,29.0,31.0,29.0,29.0,3.0,8300.0,5.0,700.0,9.0,9.0,8.0,20.0,26.0,26.0,26.0,40.0,18007.0,2317.0
8889,5.0,0.0,3.0,3.0,0.0,1.0,1.0,33.0,1.0,4.0,1000.0,17.0,10.0,7.0,361016.0,8533.0,500.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,0.0,5.0,48.0,0.0,1.0,1.0,1.0,1.0,17.0,17.0,-1.0,17.0,3.0,1600.0,4.0,0.0,22.0,22.0,3.0,58.0,30.0,10.0,30.0,48.0,8470.0,3834.0
